date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:07	90778/90778	---M--	200	added ('OK')	image/png	etag:%2295a22894eed91:0%22	https://mahaegram.co.in/images/gpdp_app.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/gpdp_app.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:08	91400/91400	---M--	200	added ('OK')	image/png	etag:%221937ce3194eed91:0%22	https://mahaegram.co.in/images/Rural-dept.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/Rural-dept.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:08	35817/35817	---M--	200	added ('OK')	image/png	etag:%229da2c2194eed91:0%22	https://mahaegram.co.in/images/Antyodaya.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/Antyodaya.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:08	31156/31156	---M--	200	added ('OK')	image/png	etag:%22f9707d2e94eed91:0%22	https://mahaegram.co.in/images/Panchyatraj-weblink.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/Panchyatraj-weblink.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:09	92650/92650	---M--	200	added ('OK')	image/png	etag:%22e5152794eed91:0%22	https://mahaegram.co.in/images/egramswaraj-weblink.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/egramswaraj-weblink.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:10	93911/93911	---M--	200	added ('OK')	image/png	etag:%2240b8502894eed91:0%22	https://mahaegram.co.in/images/grammanchitra.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/grammanchitra.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:10	37267/37267	---M--	200	added ('OK')	image/png	etag:%22c696cd2794eed91:0%22	https://mahaegram.co.in/images/gpdp2.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/gpdp2.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:10	12727/12727	---M--	200	added ('OK')	image/png	etag:%22bb7f172894eed91:0%22	https://mahaegram.co.in/images/gram-sabha.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/gram-sabha.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:11	12359/12359	---M--	200	added ('OK')	image/png	etag:%227c9202f94eed91:0%22	https://mahaegram.co.in/images/pfms.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/pfms.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:11	9366/9366	---M--	200	added ('OK')	image/png	etag:%227bc5742594eed91:0%22	https://mahaegram.co.in/images/cf.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/cf.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
